,Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,TotJ,SurvSc,SurvAv,Days,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile,age,state,Won,Name_Index,state_D.C.,season,gender,occupation,Idols found,Idols held,Idols played,Votes voided,Boot avoided,Tie avoided
397,Shirin Oskooi,0.0,0.21,0.0,0,1,5,19,2,0.37,1.56,10,0.37,1.56,6,1,0.0,0.0,0,0,0.0,0.0,31,0.0,0.0,2,0.0,2.0,0.0,0.0,0,32,California,0,400,0,31.0,0,Yahoo! Executive,0.0,0.0,0.0,0.0,0.0,0.0
398,Kelly Wiglesworth,0.72,4.73,0.15,1,1,8,68,7,0.13,0.33,10,0.28,1.05,24,6,0.0,0.0,3,0,3.0,0.0,31,4.0,2.0,6,1.0,10.0,3.0,0.35,0,37,North Carolina,0,401,0,31.0,0,River Guide,0.0,0.0,0.0,0.0,0.0,0.0
399,Terry Deitz,0.52,1.58,0.33,1,0,0,19,2,-0.08,0.0,10,0.25,0.64,13,2,0.5,0.25,0,0,0.5,0.25,31,1.0,0.0,5,1.0,6.0,1.0,0.33299999999999996,0,55,Connecticut,0,402,0,31.0,1,Pilot,0.0,0.0,0.0,0.0,0.0,0.0
400,Monica Padilla,0.29,1.08,0.27,2,0,3,6,1,-0.5,0.0,10,-0.23,0.29,15,1,0.0,0.0,0,0,0.0,0.0,31,1.0,0.0,5,2.0,6.0,2.0,0.41700000000000004,0,30,New York,0,403,0,31.0,0,Law Student,0.0,0.0,0.0,0.0,0.0,0.0
401,Vytas Baskauskas,0.0,0.1,0.0,0,0,6,10,1,-0.6,0.0,10,-0.6,0.0,3,1,0.0,0.0,0,0,0.0,0.0,31,0.0,0.0,1,0.0,1.0,0.0,0.0,0,35,California,0,404,0,31.0,1,Yoga Instructor/Math Professor,0.0,0.0,0.0,0.0,0.0,0.0
402,Brad Culpepper,6.56,12.81,0.51,0,8,2,103,12,0.67,3.11,10,1.18,9.670000000000002,39,4,0.5,0.25,10,5,10.5,5.25,34,6.0,3.0,7,5.0,13.0,8.0,0.615,0,47,Florida,0,405,0,34.0,1,Attorney/Former NFL Player,0.0,0.0,0.0,0.0,0.0,0.0
403,Sarah Lacina,1.14,12.31,0.09,0,11,0,99,13,0.85,5.92,10,0.94,7.0600000000000005,39,2,0.0,0.0,10,0,10.0,0.0,34,6.0,3.0,7,3.0,13.0,6.0,0.5379999999999999,0,32,Iowa,1,406,0,34.0,0,Police Officer,0.0,0.0,0.0,0.0,0.0,0.0
404,Andrea Boehlke,3.84,8.31,0.46,0,5,14,77,8,0.6,0.97,10,1.06,4.81,33,3,0.0,0.0,6,2,6.0,2.0,34,6.0,6.0,7,3.0,13.0,9.0,0.769,0,27,New York,0,407,0,34.0,0,"Student;
Entertainment Host/Writer",0.0,0.0,0.0,0.0,0.0,0.0
405,Cirie Fields,0.87,10.31,0.08,2,4,0,77,8,0.5,3.5,10,0.58,4.37,36,4,0.0,0.0,8,0,8.0,0.0,34,6.0,1.0,7,4.0,13.0,5.0,0.423,0,45,Connecticut,0,408,0,34.0,0,Nurse,0.0,0.0,0.0,0.0,0.0,0.0
406,Debbie Wanner,0.92,4.63,0.2,0,6,6,60,7,0.84,2.4,10,1.04,3.32,26,1,0.0,0.0,3,0,3.0,0.0,34,4.0,3.0,6,3.0,10.0,6.0,0.6,0,51,Pennsylvania,0,409,0,34.0,0,Chemist,0.0,0.0,0.0,0.0,0.0,0.0
