Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Place,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile
Rupert Boneham,1.23,9.56,0.13,1,6,10,80,10,0.59,1.2,7,0,9,0,0.72,2.43,36,6,4,1,0,6,0,7,0,20,7,3,8,4,15,7,0.466666667,0
Tom Westman,0.23,1.03,0.22,0,2,5,34,4,0.46,1.56,2,0,9,0,0.68,1.78,14,16,2,0,0,0,0,0,0,20,3,1,5,1,8,2,0.25,0
James Clement,0.23,2.03,0.11,0,3,7,40,5,0.57,1.53,3,0,9,0,0.68,1.75,15,14,2,0,0,1,0,1,0,20,3,1,5,1,8,2,0.25,0
Coach Wade,0.8,2.83,0.28,0,1,4,34,4,0.22,0.88,3,0,9,0,0.5,1.68,21,12,3,0,0,1,0,1,0,20,5,2,7,4,12,6,0.5,0
Stephenie LaGrossa,0.1,0.33,0.31,0,1,6,19,2,0.34,1.4,1,0,9,0,0.65,1.5,6,19,1,0,0,0,0,0,0,20,1,1,2,0,3,1,0.333333333,0
Courtney Yates,0.57,3.23,0.18,6,2,9,40,5,0.36,0.86,2,0,9,0,0.53,1.43,24,11,3,0,0,1,0,1,0,20,6,2,8,2,14,4,0.285714286,0
Randy Bailey,0.1,0.45,0.22,1,0,9,10,1,-0.9,0,0,0,9,0,-0.68,0.1,8,18,1,0,0,0,0,0,0,20,1,0,3,1,4,1,0.25,0
Sugar Kiper,0.1,0.2,0.5,0,0,9,10,1,-0.9,0,0,0,9,0,-0.4,0.1,3,20,1,0,0,0,0,0,0,20,1,1,1,0,2,1,0.5,0
Boston Rob Mariano,4.64,11.02,0.42,0,12,6,101,13,0.92,2.58,10,8,9,0.89,2.23,12.56,39,1,1,0,0,10,4,10,4,22,0,0,7,4,7,4,0.571428571,0
Natalie Tenerelli,1.64,11.02,0.15,0,12,1,101,13,0.92,5.17,12,0,9,0,1.07,6.81,39,3,1,0,0,10,1,10,1,22,0,0,7,4,7,4,0.571428571,0
