Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Place,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile
Brendan Shapiro,0.44,0.91,0.49,0,2,5,26,3,0.6,2.07,2,0,11,0,1.09,2.52,12,17,1,0,0,0,0,0,0,36,2,1,4,1,6,2,0.333,0
Michael Yerger,0.77,6.22,0.12,0,5,5,80,9,0.55,1.73,1,0,11,0,0.67,2.5,29,9,4,0,0,4,0,4,0,36,6,2,7,1,13,3,0.269,0
Bradley Kleihege,0.67,1.52,0.44,0,2,8,22,3,0.55,1.56,0,0,11,0,0.99,2.23,19,14,1,0,0,0,0,0,0,36,3,1,7,3,10,4,0.45,0
Donathan Hurley,1.02,11.39,0.09,0,6,9,88,11,0.54,1.17,0,0,11,0,0.63,2.19,37,5,5,1,0,8,0,9,0,36,6,4,7,2,13,6,0.5,1
Desiree Afuye,0.45,5.22,0.09,1,4,10,57,6,0.64,1.33,0,0,11,0,0.72,1.78,27,11,2,0,0,3,0,3,0,36,6,0,7,3,13,3,0.269,0
Stephanie Johnson,0.11,0.82,0.14,0,2,7,34,4,0.45,1.27,2,0,11,0,0.58,1.38,14,16,2,0,0,0,0,0,0,36,2,0,5,1,7,1,0.143,0
Chris Noble,1.29,2.86,0.45,0,0,10,13,1,-0.77,0,0,0,11,0,-0.32,1.29,22,13,1,0,0,1,0,1,0,36,4,2,7,6,11,8,0.773,0
Morgan Ricke,0.21,0.32,0.66,0,0,4,8,1,-0.5,0,0,0,11,0,0.16,0.21,9,18,1,0,0,0,0,0,0,36,0,0,3,2,3,2,0.667,0
Jacob Derwin,0,0.21,0,0,0,5,8,1,-0.63,0,0,0,11,0,-0.63,0,6,19,1,0,0,0,0,0,0,36,0,0,2,0,2,0,0,1
Stephanie Gonzalez,0,0.1,0,0,0,8,9,1,-0.89,0,0,0,11,0,-0.89,0,3,20,1,0,0,0,0,0,0,36,0,0,1,0,1,0,0,0
Nick Wilson,4.12,13.75,0.3,1,10,0,99,13,0.77,5.38,12,7,10,0.7,1.77,13.7,39,1,3,1,0,10,3,11,3,37,7,2,6,1,13,3,0.346,0
Mike White,2.19,13.75,0.16,0,9,1,100,12,0.75,4.2,10,3,10,0.3,1.21,8.19,39,2,3,1,0,10,1,11,1,37,7,3,6,2,13,5,0.5,0
Kara Kay,2.19,13.75,0.16,1,7,0,96,11,0.64,4.45,10,0,10,0,0.8,6.64,38,4,4,1,0,10,1,11,1,37,7,3,6,3,13,6,0.5,0
Davie Rickenbacker,3.1,11.75,0.26,0,5,5,90,10,0.49,1.56,7,0,10,0,0.76,4.66,36,6,5,1,1,8,0,9,1,37,7,3,6,2,13,5,0.423,0
Christian Hubicki,2.54,11,0.23,1,6,6,79,8,0.74,2.1,4,0,10,0,0.97,4.64,35,7,2,1,0,7,1,8,1,37,8,4,6,3,14,7,0.536,0
Gabby Pascuzzi,1.04,8.75,0.12,1,5,2,72,7,0.71,3.33,6,0,10,0,0.83,4.38,32,8,2,0,0,6,0,6,0,37,7,3,6,2,13,5,0.423,0
John Hennigan,1.18,3.85,0.31,0,2,3,35,3,0.64,2.67,2,0,10,0,0.94,3.84,22,12,1,0,0,2,0,2,0,37,4,2,6,4,10,6,0.65,0
Dan Rengering,2.21,4.8,0.46,0,2,6,46,4,0.47,1.4,3,0,10,0,0.93,3.61,25,11,2,0,0,3,1,3,1,37,4,2,6,4,10,6,0.65,0
Alec Merlino,2.3,6,0.38,0,3,9,61,6,0.48,1.08,5,0,10,0,0.86,3.38,28,10,3,0,0,4,1,4,1,37,5,4,6,3,11,7,0.682,0
Angelina Keeley,1.04,13.75,0.08,2,8,4,100,12,0.66,2.33,7,0,10,0,0.74,3.37,39,3,4,1,0,10,0,11,0,37,7,1,6,2,13,3,0.346,0
Alison Raybould,2.13,13,0.16,1,5,13,91,9,0.54,0.92,5,0,10,0,0.7,3.04,37,5,4,1,0,9,1,10,1,37,8,2,6,4,14,6,0.464,0
Carl Boudreaux,0.9,7.05,0.13,2,3,6,64,6,0.48,1.4,4,0,10,0,0.61,2.3,30,9,3,0,0,5,0,5,0,37,6,2,5,2,11,4,0.409,0
Natalia Azoqa,0.21,0.54,0.39,1,1,3,15,2,0.4,2,1,0,10,0,0.79,2.21,11,16,1,0,0,0,0,0,0,37,0,0,4,2,4,2,0.5,0
Lyrsa Torres,0.7,1.69,0.42,0,2,9,18,3,0.5,1.44,0,0,10,0,0.92,2.14,17,14,1,0,0,0,0,0,0,37,3,1,6,1,9,2,0.389,0
Natalie Cole,0.3,0.94,0.32,1,1,4,15,2,0.37,1.75,0,0,10,0,0.69,2.05,15,15,1,0,0,0,0,0,0,37,1,0,5,1,6,1,0.333,0
Elizabeth Olson,0.53,2.44,0.22,1,2,13,27,3,0.51,1.1,1,0,10,0,0.72,1.62,20,13,1,0,0,1,0,1,0,37,2,1,6,2,8,3,0.375,0
Jeremy Crawford,0.21,0.34,0.63,0,0,9,10,1,-0.9,0,0,0,10,0,-0.27,0.21,9,18,1,0,0,0,0,0,0,37,0,0,3,2,3,2,0.667,0
Bi Nguyen*,0.13,0.34,0.37,0,0,0,9,1,-0.24,0,1,0,10,0,0.14,0.13,10,17,2,0,0,0,0,0,0,37,0,0,3,1,3,1,0.333,0
Jessica Peet,0,0.21,0,0,0,5,9,1,-0.56,0,0,0,10,0,-0.56,0,6,19,1,0,0,0,0,0,0,37,0,0,2,0,2,0,0,0
Pat Cusack*,0,0.1,0,0,0,0,0,0,-1,0,0,0,10,0,-1,0,3,20,1,0,0,0,0,0,0,37,0,0,1,0,1,0,0,0
Boston Rob Mariano,7.07,12.81,0.55,0,8,1,48,8,1,5.6,7,3,7,0.43,1.98,15.24,39,2,0,3,1,7,4,10,5,8,7,4.5,7,6,14,10.5,0.64,0
Amber Brkich,2.87,12.81,0.22,1,9,6,53,9,0.99,2.8,4,4,7,0.57,1.78,9.1,39,1,0,3,0,7,1,10,1,8,7,4.5,7,5,14,9.5,0.71,0
Rupert Boneham,3.48,10.89,0.32,0,6,4,50,8,0.74,2.63,6,0,7,0,0.95,6.11,37,4,2,3,2,5,0,8,2,8,7,2.5,7,5,14,7.5,0.5,0
Big Tom Buchanan,2.24,9.81,0.23,4,5,4,41,6,0.82,2.92,5,0,7,0,1.12,5.16,36,5,1,3,0,4,1,7,1,8,7,1,7,5,14,6,0.5,0
Jenna Lewis,1.48,11.89,0.12,0,8,4,53,9,0.88,3.11,6,0,7,0,1,4.6,38,3,1,3,0,6,0,9,0,8,7,2.5,7,5,14,7.5,0.43,0
Shii Ann Huang,1.58,8.81,0.18,3,6,5,52,8,0.74,2.33,7,0,7,0,0.92,3.92,33,6,2,2,0,4,1,6,1,8,7,2.5,7,0.5,14,3,0.14,0
Alicia Callaway,1.67,7.81,0.21,2,3,7,30,4,0.69,1.91,2,0,7,0,0.94,3.58,30,7,1,2,0,3,0,5,0,8,7,4.5,7,4,14,8.5,0.57,0
